ASSET_ID,RELEASE_YEAR,MPAA_RATING,GENRE,IMDB_RATING,IMDB_RANKING,IMDB_VOTES,Oscar-Nomination,Oscar-Wins,Other - Nominations,Other - Wins,TOMATO_METER,TOMATO_RATING,TOMATO_REVIEWS,TOMATO_FRESH,TOMATO_ROTTEN,TOMATO_USER_METER,TOMATO_USER_RATINGS,TOMATO_USER_REVIEWS,TOMATO_IMAGE,BOX_OFFICE_EARNINGS
190550,2008,PG-13,"Comedy, Romance",5.8,37,"49,850",0,0,1,1,14,4,115,16,99,55,3.3,399190,rotten,"$46,000,000"
202015,2005,R,"Drama, Romance",6.8,82,"15,388",0,0,19,9,90,7.4,87,78,9,69,3.5,11341,certified,"$900,000"
201243,2012,PG-13,"Action, Crime, Thriller",6.6,40,117719,0,0,1,0,31,4.8,150,47,103,52,3.3,40822,rotten,"$18,600,000"
172372,2005,R,"Crime, Drama, Thriller",7.6,62,232847,0,0,1,2,61,6.2,142,87,55,85,3.6,388820,fresh,"$24,000,000"
198135,2000,R,Comedy,6.5,49,172932,0,0,4,2,48,5.4,97,47,50,57,3.1,448261,rotten,"$600,000"
190968,2007,PG-13,"Biography, Drama",8,92,"85,606",4,0,71,79,94,8.2,164,154,10,92,4,149235,certified,"$5,900,000"
202220,2013,R,"Action, Crime, Thriller",6.2,42,"80,915",0,0,1,0,41,4.8,103,42,61,48,3.3,35414,rotten,"$17,600,000"
190091,2007,R,"Crime, Drama, Thriller",7.5,42,"14,147",0,0,2,5,29,4.8,68,20,48,74,3.6,27099,rotten,"$100,000"
172426,2001,PG,"Comedy, Drama, Romance",7,60,"2,157",0,0,1,1,73,6.5,85,62,23,63,3.5,890,fresh,"$500,000"
171909,2002,R,"Comedy, Drama",7,72,"28,111",0,0,14,7,76,6.9,128,97,31,80,3.4,44116,certified,"$4,600,000"
204293,2000,PG-13,"Drama, Horror, Mystery",6.6,51,"93,122",0,0,5,4,46,5.5,124,57,67,59,3.1,278494,rotten,"$155,000,000"
205189,2014,R,"Action, Drama, Fantasy",6.3,48,197840,0,0,6,0,42,4.9,171,72,99,52,3.3,139774,rotten,"$106,600,000"
174134,2004,PG-13,"Comedy, Drama, Music",6.9,79,"4,624",0,0,7,9,87,7.6,98,85,13,69,3.4,4091,certified,"$1,600,000"
173445,2001,R,"Comedy, Drama",7.6,75,191639,1,0,39,11,80,7.5,201,161,40,89,3.6,253768,certified,"$52,300,000"
171951,2004,PG,"Biography, Drama, History",7.5,68,"33,837",0,0,2,1,80,7,158,126,32,90,3.8,56504,certified,"$64,300,000"
171732,2004,PG-13,"Comedy, Drama, Romance",6,38,"28,997",0,0,1,0,23,4.6,128,29,99,61,3.2,137184,rotten,"$37,400,000"
187315,2009,N/A,"Documentary, Drama, Family",7,69,817,0,0,0,0,91,7.1,33,30,3,69,3.7,1271,fresh,"$300,000"
202858,2008,R,Comedy,6.4,63,"8,805",0,0,1,1,54,5.5,84,45,39,46,3.1,4736,rotten,"$200,000"
191647,2008,PG-13,"Drama, Romance",6.7,64,"9,334",0,0,10,0,63,6.2,127,80,47,52,3.2,21756,fresh,"$6,400,000"
173492,2001,PG-13,"Comedy, Crime, Drama",6.6,60,"54,182",0,0,7,4,65,6.1,139,90,49,58,3.1,58558,fresh,"$41,200,000"
194523,2009,UNRATED,Documentary,7.6,75,"1,793",0,0,1,0,85,7.2,60,51,9,87,4,1358,certified,"$400,000"
